,Company,Designation,Qualifications,Location,Last Date to Apply,Link
0,Practo,Quality Engineer,"BE/B.Tech(Electronics, CSE, EEE...)",Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/quality-engineer-jobs-in-bangalore-practo-1038355
1,IPsoft,Cognitive Implementation Engineer,BE/B.Tech,Bangalore,31 Dec 20,https://www.freshersworld.com/jobs/cognitive-implementation-engineer-jobs-in-bangalore-ipsoft-1037036
2,Micro Focus,Software Developer - Contract,"BCA, BE/B.Tech, BSc, MCA",Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/software-developer-contract-jobs-in-bangalore-micro-focus-1036953
3,Covalense Digital,,"BE/B.Tech(CSE, ECE, IT), MCA, ME/M.Tech",Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/php-developers-jobs-in-bangalore-covalense-digital-1026885
4,Campus Management Corp,PHP Developers,"BCA, BE/B.Tech, BSc, MCA, ME/M.Tech",Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/junior-system-engineer-jobs-in-bangalore-campus-management-corp-1033693
5,Nuchange Informatics,Junior System Engineer,"BCA, BE/B.Tech(CSE), BSc(CS)",Bangalore,15 Nov 20,https://www.freshersworld.com/jobs/associate-software-engineer-jobs-in-bangalore-nuchange-informatics-1029287
6,Razorpay,,Any Graduate,Bangalore,01 Jan 21,https://www.freshersworld.com/jobs/junior-analyst-support-operations-jobs-in-bangalore-razorpay-1029343
7,Flock,Associate Software Engineer,BE/B.Tech,"Bangalore, Mumbai",30 Nov 20,https://www.freshersworld.com/jobs/product-support-engineer-jobs-in-bangalore-mumbai-flock-1021590
8,Pratian Technologies,Junior Analyst- Support/Operations,"BCA, BE/B.Tech(CSE, EEE, ECE...), BSc(CS, IT, Library and Information Science...), MCA, MS(SE, IT, CSE)...",Bangalore,30 Nov 20,https://www.freshersworld.com/jobs/associate-sustenance-engineer-jobs-in-bangalore-pratian-technologies-1025498
9,Magicbricks,Product Support Engineer,"BE/B.Tech(CSE, IT)",Bangalore,13 Nov 20,https://www.freshersworld.com/jobs/software-engineer-jobs-in-bangalore-magicbricks-997709
