,Title,Year of Release,Certification,Duration,Genre,Rating,Metascore,Plot,Market
0,The Shawshank Redemption,(1994),A,142 min,"
Drama            ",9.3,80        ,"
    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",$28.34M
1,The Godfather,(1972),A,175 min,"
Crime, Drama            ",9.2,100        ,"
    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",$134.97M
2,The Godfather: Part II,(1974),A,202 min,"
Crime, Drama            ",9,90        ,"
    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",$57.30M
3,The Dark Knight,(2008),UA,152 min,"
Action, Crime, Drama            ",9,84        ,"
    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",$534.86M
4,12 Angry Men,(1957),A,96 min,"
Crime, Drama            ",9,96        ,"
    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",$4.36M
5,Schindler's List,(1993),U,195 min,"
Biography, Drama, History            ",8.9,94        ,"
    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",$96.90M
6,The Lord of the Rings: The Return of the King,(2003),A,201 min,"
Action, Adventure, Drama            ",8.9,94        ,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",$377.85M
7,Pulp Fiction,(1994),A,154 min,"
Crime, Drama            ",8.9,94        ,"
    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",$107.93M
8,"Il buono, il brutto, il cattivo",(1966),A,161 min,"
Western            ",8.8,90        ,"
    A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.",$6.10M
9,Fight Club,(1999),A,139 min,"
Drama            ",8.8,66        ,"
    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",$37.03M
10,Joker,(2019),U,122 min,"
Crime, Drama, Thriller            ",8.5,59        ,"
    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",$335.45M
11,The Lord of the Rings: The Fellowship of the Ring,(2001),UA,178 min,"
Action, Adventure, Drama            ",8.8,92        ,"
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",$315.54M
12,Forrest Gump,(1994),UA,142 min,"
Drama, Romance            ",8.8,82        ,"
    The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",$330.25M
13,Inception,(2010),U,148 min,"
Action, Adventure, Sci-Fi            ",8.8,74        ,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",$292.58M
